Process ID,Arrival Time,Burst Time,Priority
P1,102,14,19
P2,435,27,18
P3,860,29,10
P4,270,39,7
P5,106,39,9
P6,71,1,1
P7,700,17,19
P8,20,41,5
P9,614,30,19
P10,121,13,1
P11,466,21,15
P12,214,19,16
P13,330,19,7
P14,458,25,12
P15,87,22,8
P16,372,31,5
P17,99,17,10
P18,871,23,5
P19,663,32,17
P20,130,10,5
P21,661,10,15
P22,308,36,13
P23,769,8,1
P24,343,20,11
P25,491,32,1
P26,413,14,11
P27,805,28,18
P28,385,46,18
P29,191,24,16
P30,955,15,13
P31,276,22,7
P32,160,30,1
P33,459,4,16
P34,313,13,1
P35,21,23,17
P36,252,8,6
P37,747,18,2
P38,856,12,17
P39,560,31,6
P40,474,14,14
P41,58,34,18
P42,510,18,6
P43,681,34,10
P44,475,11,18
P45,699,41,9
P46,975,12,8
P47,782,49,10
P48,189,15,17
P49,957,31,6
P50,686,49,14
P51,957,29,6
P52,562,26,7
P53,875,18,12
P54,566,32,3
P55,243,22,14
P56,831,38,19
P57,504,17,16
P58,130,23,7
P59,484,24,8
P60,818,8,18
P61,646,41,13
P62,20,6,9
P63,840,5,10
P64,166,44,9
P65,273,29,15
P66,387,28,2
P67,600,11,13
P68,315,1,2
P69,13,43,19
P70,241,19,2
P71,776,9,3
P72,345,27,6
P73,564,34,3
P74,897,44,10
P75,339,4,6
P76,91,36,16
P77,366,18,17
P78,955,15,19
P79,454,13,3
P80,427,19,18
P81,508,49,7
P82,775,6,9
P83,942,48,12
P84,34,12,5
P85,205,37,3
P86,80,17,11
P87,931,23,4
P88,561,26,5
P89,871,29,1
P90,387,33,18
P91,1,27,12
P92,389,25,13
P93,565,10,9
P94,105,47,2
P95,771,23,5
P96,821,21,13
P97,476,21,16
P98,702,43,16
P99,401,13,3
P100,729,37,4
P101,555,33,11
P102,161,24,14
P103,201,44,3
P104,957,11,16
P105,995,17,15
P106,269,4,10
P107,862,47,9
P108,815,25,11
P109,270,30,16
P110,455,9,10
P111,461,21,17
P112,726,20,19
P113,251,19,2
P114,701,19,2
P115,295,12,6
P116,724,37,19
P117,719,42,8
P118,748,17,3
P119,337,37,14
P120,878,48,16
P121,52,39,1
P122,791,28,3
P123,921,41,18
P124,216,35,9
P125,763,47,6
P126,187,48,1
P127,379,18,10
P128,492,14,6
P129,40,35,12
P130,156,44,4
P131,14,41,13
P132,812,7,17
P133,64,41,8
P134,856,13,3
P135,838,18,12
P136,520,37,7
P137,343,13,12
P138,128,36,2
P139,647,31,14
P140,471,2,5
P141,62,16,9
P142,138,9,11
P143,498,9,5
P144,592,38,3
P145,391,11,17
P146,674,22,2
P147,418,33,1
P148,288,36,7
P149,378,45,14
P150,772,23,5
P151,489,45,19
P152,230,45,11
P153,40,34,2
P154,27,9,8
P155,134,24,9
P156,200,8,3
P157,839,7,2
P158,779,36,7
P159,929,18,5
P160,32,3,5
P161,47,28,13
P162,502,6,6
P163,406,44,18
P164,573,44,2
P165,727,21,6
P166,804,28,9
P167,98,40,3
P168,683,1,1
P169,871,36,1
P170,725,21,19
P171,986,43,5
P172,546,35,13
P173,960,13,19
P174,738,49,12
P175,612,10,16
P176,942,44,19
P177,461,47,3
P178,642,10,12
P179,768,46,5
P180,4,13,2
P181,217,37,7
P182,502,38,13
P183,766,24,15
P184,397,2,3
P185,870,22,5
P186,794,17,8
P187,392,36,1
P188,206,14,8
P189,14,10,18
P190,857,35,16
P191,553,25,18
P192,891,3,12
P193,460,47,13
P194,690,38,13
P195,574,17,10
P196,863,12,7
P197,742,24,14
P198,240,29,16
P199,563,43,15
P200,95,25,12
P201,899,36,9
P202,733,26,8
P203,484,38,18
P204,406,1,18
P205,230,20,13
P206,748,28,18
P207,654,16,15
P208,170,47,4
P209,540,17,17
P210,35,40,5
P211,524,28,16
P212,159,12,9
P213,838,27,10
P214,698,42,18
P215,242,47,17
P216,85,30,18
P217,795,41,7
P218,577,34,4
P219,681,37,5
P220,556,6,16
P221,573,7,3
P222,952,32,18
P223,645,32,14
P224,795,25,15
P225,27,33,17
P226,619,7,1
P227,555,12,17
P228,339,16,11
P229,797,16,17
