ProcessID,ArrivalTime,BurstTime,Priority,GroupID
P1_1,31,7,5,1
P1_2,3,6,3,1
P1_3,10,20,5,1
P1_4,38,5,4,1
P1_5,43,13,4,1
P1_6,6,4,3,1
P1_7,18,13,5,1
P1_8,12,12,2,1
P1_9,26,16,5,1
P1_10,27,10,1,1
P1_11,23,14,2,1
P1_12,28,15,4,1
P1_13,10,18,3,1
P1_14,12,7,3,1
P1_15,39,16,1,1
P1_16,43,11,1,1
P1_17,47,4,4,1
P1_18,14,18,2,1
P1_19,17,19,4,1
P1_20,23,13,4,1
P1_21,44,19,3,1
P1_22,49,6,1,1
P1_23,27,8,1,1
P1_24,43,16,2,1
P1_25,29,4,4,1
P1_26,49,9,3,1
P1_27,44,9,5,1
P1_28,13,15,4,1
P1_29,27,1,2,1
P1_30,8,5,3,1
P1_31,30,4,4,1
P1_32,4,9,4,1
P1_33,15,3,3,1
P1_34,37,9,4,1
P1_35,27,10,5,1
P1_36,35,10,4,1
P1_37,8,14,3,1
P1_38,39,10,1,1
P1_39,0,13,2,1
P1_40,8,4,3,1
P1_41,44,12,1,1
P1_42,35,17,2,1
P1_43,50,1,1,1
P1_44,15,20,3,1
P1_45,16,18,5,1
P1_46,19,3,2,1
P1_47,49,6,4,1
P1_48,24,3,3,1
P1_49,36,13,4,1
P1_50,13,4,3,1
P2_1,6,16,1,2
P2_2,17,14,5,2
P2_3,47,10,2,2
P2_4,21,15,5,2
P2_5,37,4,4,2
P2_6,32,13,2,2
P2_7,18,10,1,2
P2_8,36,2,4,2
P2_9,18,19,1,2
P2_10,25,1,3,2
P2_11,47,11,5,2
P2_12,30,15,1,2
P2_13,10,2,2,2
P2_14,22,2,2,2
P2_15,1,3,3,2
P2_16,0,8,2,2
P2_17,25,16,5,2
P2_18,43,1,3,2
P2_19,2,17,1,2
P2_20,5,1,1,2
P2_21,33,11,2,2
P2_22,39,12,2,2
P2_23,6,6,3,2
P2_24,38,3,3,2
P2_25,38,15,2,2
P2_26,43,10,1,2
P2_27,30,14,1,2
P2_28,49,9,1,2
P2_29,50,8,2,2
P2_30,20,8,5,2
P2_31,24,2,3,2
P2_32,14,11,1,2
P2_33,10,6,5,2
P2_34,1,16,3,2
P2_35,20,18,4,2
P2_36,48,16,1,2
P2_37,38,12,2,2
P2_38,8,13,3,2
P2_39,32,2,1,2
P2_40,50,10,5,2
P2_41,35,12,1,2
P2_42,4,20,4,2
P2_43,32,13,3,2
P2_44,24,14,1,2
P2_45,6,10,1,2
P2_46,43,4,4,2
P2_47,11,16,2,2
P2_48,12,11,3,2
P2_49,2,16,1,2
P2_50,40,12,1,2
P3_1,12,3,2,3
P3_2,50,11,4,3
P3_3,33,8,1,3
P3_4,29,5,1,3
P3_5,18,8,3,3
P3_6,8,4,2,3
P3_7,45,7,1,3
P3_8,20,13,2,3
P3_9,2,13,3,3
P3_10,18,3,1,3
P3_11,28,18,1,3
P3_12,21,5,4,3
P3_13,3,18,2,3
P3_14,15,7,2,3
